pixel_id,label,label_name,zone,timestep,date_str,longitude,latitude,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,valid
9169,4,Almonds,california,16,2021-06-10,-119.16219617491763,36.01548094974089,460.5,736.0,739.0,1152.0,2287.0,2653.0,2834.0,2916.5,2424.5,1647.5,1
9170,4,Almonds,california,16,2021-06-10,-120.60444136357151,37.0925609754002,481.0,691.0,719.5,1093.0,2401.5,3258.0,3512.0,3457.0,2274.0,1658.0,1
9171,4,Almonds,california,16,2021-06-10,-119.44741127762558,36.188855799575954,378.0,671.0,554.0,1091.0,2951.5,3595.0,3878.0,3881.0,2223.5,1327.0,1
9172,4,Almonds,california,16,2021-06-10,-120.19525875165508,36.27554322449349,398.0,683.5,504.0,1115.5,3007.0,3597.5,3752.0,3833.5,1745.5,856.5,1
9173,4,Almonds,california,16,2021-06-10,-120.68798468499463,37.311300747083294,401.5,660.0,626.5,1194.0,2736.0,3260.0,3534.0,3559.5,2284.5,1414.5,1
9174,4,Almonds,california,16,2021-06-10,-120.12249521364139,36.25937354937934,469.0,829.0,622.0,1307.0,2869.0,3267.0,3530.0,3497.5,1814.0,1001.0,1
9175,4,Almonds,california,16,2021-06-10,-120.69786615311995,37.32073305756655,654.0,1011.0,1067.0,2038.5,3011.0,3355.5,3465.0,3603.0,3358.0,2667.0,1
9176,4,Almonds,california,16,2021-06-10,-122.22679876669137,39.65680195391937,463.0,782.0,728.0,1264.5,2657.5,3111.0,3368.0,3411.5,2433.0,1563.5,1
9177,4,Almonds,california,16,2021-06-10,-121.46682403632626,36.94972884522519,598.0,897.0,1176.0,1645.5,2205.0,2491.5,2598.0,2917.5,3164.0,1974.5,1
9178,4,Almonds,california,16,2021-06-10,-119.93429816161834,36.881456883632104,618.5,917.0,1143.0,1596.5,2563.5,2982.5,3145.0,3259.0,2860.0,1991.0,1
9179,4,Almonds,california,16,2021-06-10,-119.35982553742392,35.48502577446831,1478.0,2012.0,2584.0,2870.5,3172.5,3375.0,3480.0,3480.0,4342.5,3915.0,1
9180,4,Almonds,california,16,2021-06-10,-119.3176047190703,36.00874358510999,294.5,581.0,428.5,905.5,2573.0,3133.5,3336.0,3317.0,1851.0,1062.0,1
9181,4,Almonds,california,16,2021-06-10,-120.00436675377968,36.88729593297888,713.0,1087.0,1244.0,1750.0,2874.0,3236.5,3506.0,3528.0,3015.0,2091.5,1
9182,4,Almonds,california,16,2021-06-10,-120.56626296399644,37.19946049421041,392.0,629.0,596.0,1032.0,2499.5,3025.5,2878.0,3178.0,1847.0,1149.0,1
9183,4,Almonds,california,16,2021-06-10,-121.02530207418151,37.817501409684645,396.5,657.5,640.5,1174.0,2258.5,2627.5,2641.0,2836.5,2171.5,1527.5,1
9184,4,Almonds,california,16,2021-06-10,-121.99638089631472,39.694531195852385,403.0,671.0,555.5,1019.0,2467.5,2901.5,3075.0,3085.0,2158.0,1382.5,1
9185,4,Almonds,california,16,2021-06-10,-121.4964684407022,37.85388317869149,620.0,884.5,936.0,1327.5,2431.0,2839.5,3001.0,2989.5,2585.0,2017.5,1
9186,4,Almonds,california,16,2021-06-10,-120.98532704403819,37.4563786654686,1001.0,1411.0,2036.0,2645.5,2862.0,3156.0,3056.0,3424.5,4324.0,3886.0,1
9187,4,Almonds,california,16,2021-06-10,-120.72032403522293,37.423140999956175,342.0,630.0,467.5,1008.5,2578.5,3046.5,3223.0,3295.5,1958.5,1143.5,1
9188,4,Almonds,california,16,2021-06-10,-120.90897024488802,37.83456940008292,499.0,732.0,783.0,1165.5,2871.5,3527.0,3788.0,3830.5,2656.0,1711.0,1
9189,4,Almonds,california,16,2021-06-10,-120.41534599626435,36.850015848687924,626.0,954.0,827.0,1306.0,2863.0,3310.0,3608.0,3620.0,2529.0,1621.0,1
9190,4,Almonds,california,16,2021-06-10,-120.0030192808535,36.0967784829537,342.5,610.0,360.5,930.5,3009.0,3640.5,3924.0,3854.5,1605.0,772.5,1
9191,4,Almonds,california,16,2021-06-10,-119.29290104875702,35.62471380114889,351.0,593.0,405.5,870.5,2481.5,2979.0,3125.0,3195.5,1625.5,836.5,1
9192,4,Almonds,california,16,2021-06-10,-121.38238239961902,37.64906729391224,579.0,932.0,896.5,1415.5,2375.0,2673.0,2718.0,2840.5,2326.0,1553.0,1
9193,4,Almonds,california,16,2021-06-10,-120.87842752522796,37.79369605465548,858.0,1257.0,1670.0,2067.0,2853.0,3249.0,3482.0,3569.5,3473.0,2466.5,1
9194,4,Almonds,california,16,2021-06-10,-120.86001206190352,37.53992198689171,327.5,632.5,406.0,1035.5,2795.0,3268.0,3476.0,3479.5,1802.5,987.0,1
9195,4,Almonds,california,16,2021-06-10,-120.11935111014697,36.107109108721076,572.0,886.0,802.0,1299.0,2713.5,3142.5,3260.0,3328.5,2204.5,1463.0,1
9196,4,Almonds,california,16,2021-06-10,-119.3589272221398,35.58294214043734,323.5,611.0,472.5,1024.5,2642.0,3128.5,3260.0,3375.5,1815.5,1006.0,1
9197,4,Almonds,california,16,2021-06-10,-120.43960050893558,36.91514370678659,1030.0,1354.0,1628.0,2003.5,2705.5,3099.5,3306.0,3447.5,3936.0,3247.5,1
9198,4,Almonds,california,16,2021-06-10,-120.81958787411814,37.33600441739659,494.5,757.0,749.0,1312.5,2536.0,2960.5,3198.0,3265.5,2572.5,1855.0,1
9199,4,Almonds,california,16,2021-06-10,-120.3111414233065,37.17565513918125,429.0,762.0,719.0,1379.0,2672.5,3044.0,3274.0,3257.0,2466.0,1696.0,1
9200,4,Almonds,california,16,2021-06-10,-119.77574551397126,35.68669755575314,949.5,1187.0,1611.0,1814.5,1902.0,2056.5,2266.0,2382.0,3975.5,3024.5,1
9201,4,Almonds,california,16,2021-06-10,-119.24753612690898,35.60225591904591,477.0,752.0,652.5,1426.0,2831.0,3281.0,3548.0,3449.0,2172.5,1541.5,1
9202,4,Almonds,california,16,2021-06-10,-120.83216428809581,37.57181217947796,352.0,641.0,466.5,1035.0,2440.0,2780.5,3010.0,3028.0,1868.0,1081.5,1
9203,4,Almonds,california,16,2021-06-10,-119.44561464705733,35.63773937276863,1600.0,2089.0,2560.0,2594.0,2969.0,3260.0,3480.0,3479.5,3966.5,3267.0,1
9204,4,Almonds,california,16,2021-06-10,-120.31203973859061,37.121307064492015,921.5,1353.0,1938.0,2408.5,2841.5,3035.0,3258.0,3414.0,3940.0,2838.0,1
9205,4,Almonds,california,16,2021-06-10,-119.36341879856039,35.54476374086226,1107.0,1560.0,2004.0,2379.5,2986.0,3277.0,3502.0,3554.0,4284.0,3657.5,1
9206,4,Almonds,california,16,2021-06-10,-122.00042331509324,38.92287836679372,290.0,646.0,412.5,1053.0,3179.0,3834.0,3876.0,4052.5,1946.5,1032.0,1
9207,4,Almonds,california,16,2021-06-10,-119.66076115760396,35.5007462919404,392.0,617.5,461.0,962.0,2697.5,3235.0,3416.0,3475.5,1647.0,836.0,1
9208,4,Almonds,california,16,2021-06-10,-119.26146001381282,35.57575561816438,1254.0,1735.0,2286.0,2615.0,2906.5,3126.5,3330.0,3425.0,4785.0,4227.0,1
9209,4,Almonds,california,16,2021-06-10,-119.21609509196479,35.093360310592196,810.5,1164.0,1275.0,2290.5,2961.5,3143.0,3128.0,3276.0,3101.0,2773.5,1
9210,4,Almonds,california,16,2021-06-10,-120.3434807735348,36.37525622103075,388.5,693.5,446.5,1132.5,3154.0,3732.0,4114.0,3994.0,1946.0,1077.0,1
9211,4,Almonds,california,16,2021-06-10,-120.76029906536625,37.380021866318444,448.5,712.0,718.5,1127.5,2402.5,2848.5,2994.0,3134.5,2250.5,1448.0,1
